endpoint,tier,n_rows,n_toxic,xgb_auc,m2_auc,m3_auc,ensemble_auc,delta_vs_xgb
NR-AR,CAT+BRF,7265,309,0.7887,0.7897,0.8121,0.8116,0.0229
NR-AR-LBD,CAT+BRF,6758,237,0.8596,0.8803,0.8873,0.8902,0.0306
NR-AhR,XGB-heavy,6549,768,0.9108,0.9022,0.9063,0.913,0.0022
NR-Aromatase,XGB-heavy,5821,300,0.8707,0.8802,0.8766,0.8822,0.0115
NR-ER,CAT+BRF,6193,793,0.7291,0.7444,0.7469,0.7477,0.0186
NR-ER-LBD,RF-heavy,6955,350,0.8431,0.8252,0.849,0.8509,0.0078
NR-PPAR-gamma,RF-heavy,6450,186,0.8572,0.8701,0.8826,0.888,0.0308
SR-ARE,XGB-heavy,5832,942,0.8513,0.8473,0.847,0.8567,0.0053
SR-ATAD5,RF-heavy,7072,264,0.8916,0.9229,0.9067,0.9178,0.0262
SR-HSE,RF-heavy,6467,372,0.8249,0.8317,0.8329,0.8418,0.0169
SR-MMP,XGB-heavy,5810,918,0.9265,0.9348,0.932,0.9345,0.008
SR-p53,XGB-heavy,6774,423,0.883,0.9246,0.9027,0.9042,0.0212
