endpoint,feature,gain,category
NR-AR,morgan_1,4.08591890335083,Morgan fingerprint
NR-AR,morgan_2,1.7876343727111816,Morgan fingerprint
NR-AR,morgan_11,0.08141136169433594,Morgan fingerprint
NR-AR,morgan_13,4.575981140136719,Morgan fingerprint
NR-AR,morgan_17,16.305381774902344,Morgan fingerprint
NR-AR,morgan_18,22.88524627685547,Morgan fingerprint
NR-AR,morgan_19,49.55434036254883,Morgan fingerprint
NR-AR,morgan_23,1.6377952098846436,Morgan fingerprint
NR-AR,morgan_25,4.620856285095215,Morgan fingerprint
NR-AR,morgan_28,22.392004013061523,Morgan fingerprint
NR-AR,morgan_33,24.548477172851562,Morgan fingerprint
NR-AR,morgan_36,19.117706298828125,Morgan fingerprint
NR-AR,morgan_39,1.3189420700073242,Morgan fingerprint
NR-AR,morgan_41,1.905909538269043,Morgan fingerprint
NR-AR,morgan_50,17.142986297607422,Morgan fingerprint
NR-AR,morgan_54,8.595000267028809,Morgan fingerprint
NR-AR,morgan_55,25.951335906982422,Morgan fingerprint
NR-AR,morgan_64,14.691965103149414,Morgan fingerprint
NR-AR,morgan_73,15.230575561523438,Morgan fingerprint
NR-AR,morgan_84,3.6826090812683105,Morgan fingerprint
NR-AR,morgan_93,0.6127471923828125,Morgan fingerprint
NR-AR,morgan_94,26.149036407470703,Morgan fingerprint
NR-AR,morgan_98,1.6551990509033203,Morgan fingerprint
NR-AR,morgan_102,32.943511962890625,Morgan fingerprint
NR-AR,morgan_103,34.82941436767578,Morgan fingerprint
NR-AR,morgan_105,59.51145935058594,Morgan fingerprint
NR-AR,morgan_114,20.54316520690918,Morgan fingerprint
NR-AR,morgan_116,13.259781837463379,Morgan fingerprint
NR-AR,morgan_117,25.347179412841797,Morgan fingerprint
NR-AR,morgan_118,35.34979248046875,Morgan fingerprint
NR-AR,morgan_119,7.270948886871338,Morgan fingerprint
NR-AR,morgan_126,90.90615844726562,Morgan fingerprint
NR-AR,morgan_135,3.6414694786071777,Morgan fingerprint
NR-AR,morgan_145,11.887466430664062,Morgan fingerprint
NR-AR,morgan_147,3.6927731037139893,Morgan fingerprint
NR-AR,morgan_149,21.65949821472168,Morgan fingerprint
NR-AR,morgan_151,119.87225341796875,Morgan fingerprint
NR-AR,morgan_156,2.9250946044921875,Morgan fingerprint
NR-AR,morgan_160,14.579307556152344,Morgan fingerprint
NR-AR,morgan_162,4.582108497619629,Morgan fingerprint
NR-AR,morgan_165,11.875144958496094,Morgan fingerprint
NR-AR,morgan_173,26.625076293945312,Morgan fingerprint
NR-AR,morgan_179,3.616633415222168,Morgan fingerprint
NR-AR,morgan_188,4.860805511474609,Morgan fingerprint
NR-AR,morgan_190,9.287689208984375,Morgan fingerprint
